5
5 5 
3 1 8 
4 2 7
0 3 6
3 4 9
1 2 10
4 5
0 1 3
0 2 1
0 3 2
1 2 5
1 3 2 
7 12
0 1 5
1 2 16
2 3 26
3 4 4
4 5 18
5 0 8
1 5 10
1 6 3
2 6 30 
3 6 14 
4 6 12 
5 6 2
7 13
0 2 6772
0 5 539
5 2 100
4 3 3660
0 3 1803
6 1 5180
0 4 313
6 5 819
3 1 593
6 0 939
3 2 2704
5 1 2149
1 4 569
15 74
3 7 933
9 2 1595
8 3 3916
1 10 2072
0 8 2663
2 4 6112
0 7 117
4 10 2275
4 1 3541
11 10 1106
11 6 913
11 5 1869
9 5 2892
6 13 3821
9 8 2643
6 2 395
13 4 2539
6 1 4542
4 6 959
0 6 2195
12 9 4846
3 6 1555
9 14 2119
7 10 4523
4 14 5119
7 2 4584
14 1 291
1 8 279
12 7 2077
3 1 649
5 7 2349
1 9 2383
8 6 153
9 4 3481
2 1 3805
13 7 84
14 6 2391
9 13 387
13 3 760
1 5 1897
12 1 2963
11 1 1061
10 9 5438
11 14 763
0 9 2485
12 2 1072
12 5 4230
9 7 5543
4 7 2098
2 10 1467
7 11 916
0 12 239
0 1 3661
11 13 1323
14 2 4959
4 12 1614
10 13 377
10 5 123
13 2 1515
3 2 1233
8 4 2452
0 11 600
9 11 988
9 3 2353
0 14 1212
2 11 439
12 3 2514
8 14 1083
12 6 2971
13 0 4233
5 13 653
3 14 497
9 6 3139
10 12 848
